Complexity,Loss,Equation
1,2.4399328,"1.877296"
4,1.7059447,"exp(x1 / x0)"
5,1.5769929,"(x1 / x0) / 0.2764143"
6,1.4723556,"exp((x1 / x0) / 0.7463383)"
8,0.9649971,"1.0016418 / cos((x1 / x0) / -0.7013643)"
9,0.9602398,"0.9210219 / sin(cos((x1 / x0) / -0.6944956))"
10,0.7085155,"0.92577434 / cos(x1 / ((0.6704937 * x0) + 3.135738))"
11,0.69214714,"0.8548251 / sin(cos((x1 / (x0 + 3.3367357)) / -0.6679444))"
12,0.65096503,"(0.6158036 / cos(x1 / ((x0 * 0.65531695) + 2.4994388))) + 0.5121058"
14,0.65052444,"0.4977884 + (0.61638564 / cos(x1 / ((x0 * 0.65377384) + exp(exp(0.0030232822)))))"
15,0.6462528,"0.4977884 + (0.61638564 / cos(x1 / ((x0 * 0.65377384) + exp(x1 / x0))))"
16,0.64515406,"(cos(-0.9248758) / cos(x1 / ((x0 * 0.65377384) + exp(x1 / x0)))) + 0.4977884"
18,0.64107937,"((0.50822717 / cos(x1 / ((x0 * 0.6513909) + 2.5225716))) + (x1 / (x0 + x1))) + 0.4025863"
