Complexity,Loss,Equation
1,2.438188,"1.8761165"
3,2.1748693,"x1 ^ 0.14850448"
4,1.7041639,"exp(x1 / x0)"
6,1.6982943,"exp(x1 / x0) - -0.29333752"
7,1.4708189,"exp(abs(x1 / (x0 * 0.7463403)))"
10,1.4093014,"exp((x1 / (x0 * cos(cos(-0.39893076)))) - 0.16904067)"
11,1.4089981,"exp(abs((x1 / (x0 * cos(cos(-0.39893076)))) - 0.16904067))"
13,1.3704318,"exp(abs(((-0.7349859 + x1) / (cos(cos(-0.5085891)) * x0)) - 0.16904067))"
15,1.3695842,"exp(((-0.7349859 + x1) / (cos(cos(tanh(x0) + -0.5085891)) * x0)) - 0.16904067)"
16,1.3692111,"exp(abs(((-0.7349859 + x1) / (cos(cos(tanh(x0) + -0.5085891)) * x0)) - 0.16904067))"
17,1.3692036,"abs(exp(abs(((x1 + -0.7349859) / (x0 * cos(cos(tanh(x1) + -0.5085891)))) - 0.16904067)))"
18,1.2835311,"abs(abs(exp(abs(((x1 + -1.7143254) / (x0 * cos(cos(tanh(x1) + -1.0118186)))) - 0.38628316))))"
