Complexity,Loss,Equation
1,2.438188,"1.8763227"
3,2.1754885,"x1 ^ 0.14604467"
4,1.7041639,"exp(x1 / x0)"
7,1.703381,"exp(abs((0.4023884 + x1) / x0))"
8,1.7029049,"abs(exp((sqrt(0.7104447) + x1) / x0))"
9,1.6795149,"abs(exp((x1 + sqrt(x0)) / abs(x0)))"
10,1.6228168,"abs(exp(abs(x1 / x0)) + (x1 / x0))"
12,1.2844425,"abs(exp(((x1 / x0) + abs(x1 / x0)) - 0.516335))"
14,0.83703387,"abs(tan(sin(((x1 - 0.8420929) / x0) + 1.2834582) * -2.2235765)) - 0.22917148"
16,0.8168782,"abs(tan(sin(((x1 - 1.1939765) / (x0 + 0.65688974)) + 1.218283) * 2.093005)) - 0.63706154"
18,0.7496281,"abs(tan(sin(((x1 - 0.53204644) / (x0 + 1.312559)) + 0.2551215) * 1.6507117) - 0.02750591) ^ 0.4238393"
