Complexity,Loss,Equation
1,1.0857542,"1.7018081"
3,0.8896371,"sqrt(sqrt(x1))"
5,0.7950511,"(x1 / x0) + 1.1550217"
6,0.74823296,"sqrt((x1 + 3.2048295) / 6.626504)"
7,0.69762933,"(x1 / (x0 / 2.2786486)) - -0.4207303"
9,0.6778799,"(((x1 + x1) + x0) / x0) + -0.29819572"
14,0.67114186,"((((x1 + (x1 - x0)) + -2.3300486) - sqrt(x0)) / x0) + 1.9840457"
16,0.67038935,"((((((x1 + x1) - -0.89979625) - x0) - sqrt(x0)) + -2.8192532) / x0) + 1.9441632"
18,0.6703841,"((((((x1 + x1) - -0.4338827) - x0) - sqrt(x0 - 1.4331988)) + -2.6040163) / x0) + 1.9475348"
20,0.6546567,"((x1 / ((x0 / 3.5449755) + (x0 / sqrt(x0)))) - (((x1 - x1) - 0.32347015) + -0.20105578)) - -0.07989692"
