Complexity,Loss,Equation
1,1.085754,"1.7018131"
3,0.8896371,"sqrt(sqrt(x1))"
5,0.80000865,"(x1 / x0) - -1.2863474"
6,0.7768224,"sqrt(x1 + 42.186348) - 6.0714374"
7,0.71483713,"sqrt((1.9452463 + x1) / sqrt(x0))"
9,0.6964374,"(-2.1805985 / ((x1 / 54.387604) - 1.4083204)) - 0.46176448"
12,0.68242973,"((x1 / ((x0 / x0) + -0.51141095)) / x0) + sqrt(0.5671537)"
13,0.6704768,"(((x1 + (x1 + (-0.7126577 - x0))) + -3.436092) / x0) + 1.8417503"
15,0.6634242,"(x1 / (x0 / 1.3601928)) + (((x1 / (x0 + 8.19817)) + -0.40121824) - -1.0278035)"
19,0.66179276,"((x1 / ((x0 / x0) + -0.56843925)) / (x0 - ((x0 - (x0 - -1.2370133)) - 2.095392))) + 0.6183764"
