Complexity,Loss,Equation
1,1.7384138,"0.8939361"
2,1.4153405,"sqrt(1.2717379)"
3,0.8896371,"sqrt(sqrt(x1))"
5,0.79312056,"(x1 / x0) - -1.185737"
7,0.75278646,"1.0860833 + ((x1 / x0) / 0.57946724)"
8,0.7330029,"sqrt(1.0860833) + ((x1 / x0) / 0.57946724)"
9,0.70396274,"((x1 / (x0 - -5.628257)) / 0.56354594) + 0.8638597"
10,0.69849056,"sqrt(0.64964765) + ((x1 / x0) / (0.57946724 + 0.015921293))"
11,0.6691352,"((((x1 + -1.5392582) / 0.46607953) + 0.23501724) / x0) - -0.74012923"
12,0.663816,"(((x1 / 0.2811714) - x1) / (x0 + sqrt(x0))) + 0.61501724"
