Complexity,Loss,Equation
1,488.86258,"5.9196463"
2,487.9978,"log(x0)"
4,349.248,"exp(4.958096 - x1)"
5,0.07728633,"x0 / (x1 + 0.9999836)"
7,0.07554779,"(x0 / (x1 + 0.9997831)) - 0.0418764"
9,0.075477354,"(1.0009625 / ((x1 + 1.0008354) / x0)) + -0.04585666"
11,0.07545857,"1.000861 / ((x1 + 1.0009017) / (x0 + (x1 * -0.047120873)))"
12,0.075143225,"(x0 / (0.9999977 + x1)) - (0.051796496 / cos(x1 / x0))"
13,0.074055456,"(0.99995965 / ((x1 + 0.9999324) / x0)) + ((x1 / x0) * -0.09753811)"
16,0.073698446,"(0.998984 / ((0.99904877 + x1) / x0)) + (((x1 / x0) - exp(-1.3431096)) * -0.15966223)"
17,0.069589876,"(-0.059298597 / exp(cos((x1 / -0.04713013) / x0))) + (1.0015589 / ((1.0015582 + x1) / x0))"
19,0.06912739,"(-0.059298597 / exp(cos(((x1 + 1.2009941) / -0.04713013) / x0))) + (1.0015589 / ((1.0015582 + x1) / x0))"
