Complexity,Loss,Equation
1,488.86267,"5.9227753"
2,487.9978,"log(x0)"
4,487.77002,"log(x0) - -0.6556278"
5,486.69543,"log(x0) + cos(x1)"
6,475.21625,"exp(exp(exp(-1.305089 * x1)))"
8,433.94714,"exp(exp(exp(-1.305089 * x1)) - -1.000373)"
9,431.37903,"exp(exp((-1.4123499 * x1) / x0) / 0.36827603)"
10,410.1402,"exp(round(exp(-1.4123499 * (x1 / x0)) / 0.36827603))"
12,386.09274,"exp((exp(sin(0.90801466)) + (-1.6955954 * (x1 + -1.7778498))) - -0.035701226)"
13,358.78546,"exp((0.0803954 * (x1 / -0.34344977)) + exp(0.50614953 + 0.97123593)) + -1.5485784"
14,336.16876,"exp(round(round((((x1 + -2.5275388) * -1.230381) - -0.5402142) + 1.8399355))) + 2.3080335"
15,112.19297,"exp((((x1 / 8.969675) * -4.4918323) - ((log(x0) + 67.783394) / x0)) + 5.9600854)"
