Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
4	:	1753639960.422	     7.561	0	1562	0	0	execute_command 'bash "/cs/home/mk422/Documents/DAC_SR/Scripts/unrounded/control_library/linear.sh" "Experiments/SuiteA/SuiteA_Noise001/Datasets/PSACMAES/sphere/psa_vars.csv" "0.01"' global_TODO_CPU.txt
6	:	1753639960.447	     7.866	0	1580	0	0	execute_command 'bash "/cs/home/mk422/Documents/DAC_SR/Scripts/unrounded/control_library/linear.sh" "Experiments/SuiteA/SuiteA_Noise001/Datasets/PSACMAES/ellipsoid/psa_vars.csv" "0.01"' global_TODO_CPU.txt
25	:	1753639960.687	   656.272	0	47251	0	0	execute_command 'bash "/cs/home/mk422/Documents/DAC_SR/Scripts/unrounded/control_library/pysr.sh" "Experiments/SuiteB/SuiteB_LargeInstances/Datasets/PSACMAES/absent/sphere/psa_vars.csv" "0.1"' global_TODO_CPU.txt
8	:	1753639960.472	   743.116	0	26746	0	0	execute_command 'bash "/cs/home/mk422/Documents/DAC_SR/Scripts/unrounded/control_library/pysr.sh" "Experiments/SuiteA/SuiteA_Noise001/Datasets/PSACMAES/all_benchmarks.csv" "0.01"' global_TODO_CPU.txt
9	:	1753639960.485	   787.138	0	36101	0	0	execute_command 'bash "/cs/home/mk422/Documents/DAC_SR/Scripts/unrounded/control_library/pysr.sh" "Experiments/SuiteA/SuiteA_Noise001/Datasets/PSACMAES/absent/sphere/psa_vars.csv" "0.01"' global_TODO_CPU.txt
10	:	1753639960.497	   787.237	0	35383	0	0	execute_command 'bash "/cs/home/mk422/Documents/DAC_SR/Scripts/unrounded/control_library/pysr.sh" "Experiments/SuiteA/SuiteA_Noise001/Datasets/PSACMAES/absent/ellipsoid/psa_vars.csv" "0.01"' global_TODO_CPU.txt
11	:	1753639960.510	   787.650	0	34783	0	0	execute_command 'bash "/cs/home/mk422/Documents/DAC_SR/Scripts/unrounded/control_library/pysr.sh" "Experiments/SuiteA/SuiteA_Noise001/Datasets/PSACMAES/absent/rastrigin/psa_vars.csv" "0.01"' global_TODO_CPU.txt
26	:	1753639960.702	   787.568	0	37916	0	0	execute_command 'bash "/cs/home/mk422/Documents/DAC_SR/Scripts/unrounded/control_library/pysr.sh" "Experiments/SuiteB/SuiteB_LargeInstances/Datasets/PSACMAES/absent/ellipsoid/psa_vars.csv" "0.1"' global_TODO_CPU.txt
27	:	1753639960.715	   787.725	0	38013	0	0	execute_command 'bash "/cs/home/mk422/Documents/DAC_SR/Scripts/unrounded/control_library/pysr.sh" "Experiments/SuiteB/SuiteB_LargeInstances/Datasets/PSACMAES/absent/rastrigin/psa_vars.csv" "0.1"' global_TODO_CPU.txt
38	:	1753640749.128	    21.101	0	1504	0	0	execute_command 'bash "/cs/home/mk422/Documents/DAC_SR/Scripts/unrounded/control_library/linear.sh" "Experiments/SuiteA/SuiteA_Noise005/Datasets/Leadingones/GTLeadingOnes.csv" "0.05"' global_TODO_CPU.txt
41	:	1753640749.425	    25.223	0	1459	0	0	execute_command 'bash "/cs/home/mk422/Documents/DAC_SR/Scripts/unrounded/control_library/linear.sh" "Experiments/SuiteA/SuiteA_Noise005/Datasets/Onemax/GTOneMax.csv" "0.05"' global_TODO_CPU.txt
44	:	1753640770.310	    16.035	0	1562	0	0	execute_command 'bash "/cs/home/mk422/Documents/DAC_SR/Scripts/unrounded/control_library/linear.sh" "Experiments/SuiteA/SuiteA_Noise005/Datasets/PSACMAES/sphere/psa_vars.csv" "0.05"' global_TODO_CPU.txt
43	:	1753640749.534	    57.091	0	1815	0	0	execute_command 'bash "/cs/home/mk422/Documents/DAC_SR/Scripts/unrounded/control_library/qlattice.sh" "Experiments/SuiteA/SuiteA_Noise005/Datasets/PSACMAES/sphere/psa_vars.csv" "0.05"' global_TODO_CPU.txt
47	:	1753640806.693	   730.184	0	1580	0	0	execute_command 'bash "/cs/home/mk422/Documents/DAC_SR/Scripts/unrounded/control_library/linear.sh" "Experiments/SuiteA/SuiteA_Noise005/Datasets/PSACMAES/ellipsoid/psa_vars.csv" "0.05"' global_TODO_CPU.txt
46	:	1753640786.430	 37751.895	0	1914	0	0	execute_command 'bash "/cs/home/mk422/Documents/DAC_SR/Scripts/unrounded/control_library/qlattice.sh" "Experiments/SuiteA/SuiteA_Noise005/Datasets/PSACMAES/ellipsoid/psa_vars.csv" "0.05"' global_TODO_CPU.txt
37	:	1753640748.815	 37791.711	0	1758	0	0	execute_command 'bash "/cs/home/mk422/Documents/DAC_SR/Scripts/unrounded/control_library/qlattice.sh" "Experiments/SuiteA/SuiteA_Noise005/Datasets/Leadingones/GTLeadingOnes.csv" "0.05"' global_TODO_CPU.txt
40	:	1753640749.327	 37796.245	0	1728	0	0	execute_command 'bash "/cs/home/mk422/Documents/DAC_SR/Scripts/unrounded/control_library/qlattice.sh" "Experiments/SuiteA/SuiteA_Noise005/Datasets/Onemax/GTOneMax.csv" "0.05"' global_TODO_CPU.txt
50	:	1753678540.545	  5382.316	0	1580	0	0	execute_command 'bash "/cs/home/mk422/Documents/DAC_SR/Scripts/unrounded/control_library/linear.sh" "Experiments/SuiteA/SuiteA_Noise005/Datasets/PSACMAES/rastrigin/psa_vars.csv" "0.05"' global_TODO_CPU.txt
