Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
19	:	1753449172.605	     3.345	0	182	0	0	run_job 19 'conda run -n kan python --version > setup_environments/kan_snapshot.txt'
4	:	1753449172.452	     3.795	0	196	0	0	run_job 4 'conda run -n dso_env python --version > setup_environments/dso_env_snapshot.txt'
28	:	1753449172.696	     3.773	0	202	0	0	run_job 28 'conda run -n pysr_env python --version > setup_environments/pysr_env_snapshot.txt'
31	:	1753449172.729	     3.740	0	190	0	0	run_job 31 'conda run -n q_lat python --version > setup_environments/q_lat_snapshot.txt'
7	:	1753449172.481	     3.995	0	232	0	0	run_job 7 'conda run -n dso_env_rounding python --version > setup_environments/dso_env_rounding_snapshot.txt'
10	:	1753449172.510	     4.128	0	230	0	0	run_job 10 'conda run -n e2e_transformer python --version > setup_environments/e2e_transformer_snapshot.txt'
12	:	1753449172.529	     4.200	0	220	0	0	run_job 12 'conda run -n e2e_transformer pip freeze >> setup_environments/e2e_transformer_snapshot.txt'
27	:	1753449172.686	     4.079	0	196	0	0	run_job 27 'conda run -n psa_cmaes pip freeze >> setup_environments/psa_cmaes_snapshot.txt'
16	:	1753449172.574	     4.269	0	210	0	0	run_job 16 'conda run -n generation python --version > setup_environments/generation_snapshot.txt'
18	:	1753449172.595	     4.256	0	200	0	0	run_job 18 'conda run -n generation pip freeze >> setup_environments/generation_snapshot.txt'
1	:	1753449172.425	     4.608	0	200	0	0	run_job 1 'conda run -n analysis python --version > setup_environments/analysis_snapshot.txt'
34	:	1753449172.756	     4.513	0	186	0	0	run_job 34 'conda run -n tpsr python --version > setup_environments/tpsr_snapshot.txt'
22	:	1753449172.634	     4.720	0	194	0	0	run_job 22 'conda run -n linear python --version > setup_environments/linear_snapshot.txt'
15	:	1753449172.561	     4.840	0	200	0	0	run_job 15 'conda run -n evaluation pip freeze >> setup_environments/evaluation_snapshot.txt'
13	:	1753449172.541	     4.870	0	210	0	0	run_job 13 'conda run -n evaluation python --version > setup_environments/evaluation_snapshot.txt'
33	:	1753449172.747	     4.779	0	180	0	0	run_job 33 'conda run -n q_lat pip freeze >> setup_environments/q_lat_snapshot.txt'
25	:	1753449172.664	     4.911	0	206	0	0	run_job 25 'conda run -n psa_cmaes python --version > setup_environments/psa_cmaes_snapshot.txt'
24	:	1753449172.654	     4.934	0	184	0	0	run_job 24 'conda run -n linear pip freeze >> setup_environments/linear_snapshot.txt'
3	:	1753449172.442	     5.170	0	190	0	0	run_job 3 'conda run -n analysis pip freeze >> setup_environments/analysis_snapshot.txt'
6	:	1753449172.473	     5.246	0	186	0	0	run_job 6 'conda run -n dso_env pip freeze >> setup_environments/dso_env_snapshot.txt'
9	:	1753449172.500	     5.257	0	224	0	0	run_job 9 'conda run -n dso_env_rounding pip freeze >> setup_environments/dso_env_rounding_snapshot.txt'
21	:	1753449172.625	     5.233	0	172	0	0	run_job 21 'conda run -n kan pip freeze >> setup_environments/kan_snapshot.txt'
30	:	1753449172.718	     5.197	0	192	0	0	run_job 30 'conda run -n pysr_env pip freeze >> setup_environments/pysr_env_snapshot.txt'
14	:	1753449172.552	     5.468	0	218	0	0	run_job 14 'conda run -n evaluation conda list --export >> setup_environments/evaluation_snapshot.txt'
36	:	1753449172.776	     5.365	0	176	0	0	run_job 36 'conda run -n tpsr pip freeze >> setup_environments/tpsr_snapshot.txt'
32	:	1753449172.738	     5.620	0	198	0	0	run_job 32 'conda run -n q_lat conda list --export >> setup_environments/q_lat_snapshot.txt'
2	:	1753449172.434	     5.980	0	208	0	0	run_job 2 'conda run -n analysis conda list --export >> setup_environments/analysis_snapshot.txt'
5	:	1753449172.464	     6.450	0	204	0	0	run_job 5 'conda run -n dso_env conda list --export >> setup_environments/dso_env_snapshot.txt'
29	:	1753449172.704	     6.344	0	210	0	0	run_job 29 'conda run -n pysr_env conda list --export >> setup_environments/pysr_env_snapshot.txt'
8	:	1753449172.490	     6.757	0	240	0	0	run_job 8 'conda run -n dso_env_rounding conda list --export >> setup_environments/dso_env_rounding_snapshot.txt'
23	:	1753449172.643	     6.858	0	202	0	0	run_job 23 'conda run -n linear conda list --export >> setup_environments/linear_snapshot.txt'
17	:	1753449172.584	     7.160	0	218	0	0	run_job 17 'conda run -n generation conda list --export >> setup_environments/generation_snapshot.txt'
26	:	1753449172.676	     7.469	0	214	0	0	run_job 26 'conda run -n psa_cmaes conda list --export >> setup_environments/psa_cmaes_snapshot.txt'
35	:	1753449172.765	     7.576	0	194	0	0	run_job 35 'conda run -n tpsr conda list --export >> setup_environments/tpsr_snapshot.txt'
11	:	1753449172.518	     8.408	0	238	0	0	run_job 11 'conda run -n e2e_transformer conda list --export >> setup_environments/e2e_transformer_snapshot.txt'
20	:	1753449172.615	     9.994	0	190	0	0	run_job 20 'conda run -n kan conda list --export >> setup_environments/kan_snapshot.txt'
